tweet_id	text	created_at	retweet_count	user_id	screen_name	#followers	#followings	#statuses	keywords	hashtags	urls
583723586990579712	How many immigrants would Farage turn away? Not at all clear what he is really saying. #leadersdebate	2015-04-02 20:12:02	71	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583722168887844865	Ridiculous now for Labour to sound tough on immigration when they deliberately opened the floodgates​. #leadersdebate	2015-04-02 20:06:24	406	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583721261559197696	Dave easily the best and most balanced in the first half, especially on NHS debate. #leadersdebate	2015-04-02 20:02:48	143	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583720517640658944	Mili can't answer on Mid Staffs cover up. #JustNotUpToIt	2015-04-02 19:59:51	115	3131144855	Boris Johnson	253222	45	418	[]	['JustNotUpToIt']	[]
583719582998761473	Ed caught out on NHS privatisation #justnotuptoit #leadersdebate	2015-04-02 19:56:08	116	3131144855	Boris Johnson	253222	45	418	[]	['justnotuptoit', 'leadersdebate']	[]
583718192574435328	"PM: ""Money spent on doctors not bureaucrats​"" - totally right. #leadersdebate"	2015-04-02 19:50:36	89	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583716667164762112	Great point about 7 day NHS service from Cameron - and only with a strong economy to fund it . #leadersdebate	2015-04-02 19:44:33	122	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583715164991590400	Come on then Miliband tell us what you would cut you cowardy custard. #leadersdebate	2015-04-02 19:38:34	1797	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583714412537581569	Becoming ever clearer that SNP would tilt Labour even further left - behold the chaos that might enfold us. #leadersdebate	2015-04-02 19:35:35	267	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583712249975439360	Again Mili says he would make cuts - on what and on whom? Cameron zapped him on Labour tax increases. #leadersdebate	2015-04-02 19:26:59	119	3131144855	Boris Johnson	253222	45	418	[]	['leadersdebate']	[]
583710080522002432	How is Mili going to cut the deficit? He can't say...blank nonsense. #militripe #leadersdebate	2015-04-02 19:18:22	255	3131144855	Boris Johnson	253222	45	418	[]	['militripe', 'leadersdebate']	[]
583565249111920640	Good to see yet more business leaders backing our policies which support investment and job creation: http://t.co/Ah9rqQ3RAC #businessletter	2015-04-02 09:42:52	73	3131144855	Boris Johnson	253222	45	418	[]	['businessletter']	['http://www.telegraph.co.uk/news/politics/labour/11510338/Miliband-rift-with-business-intensifies.html']
583376627289075712	Cracking morning in Hendon with a great swathe of supporters out to launch the Tory campaign. Watch &amp; find out more: https://t.co/jgP0QO2lde	2015-04-01 21:13:21	98	3131144855	Boris Johnson	253222	45	418	[]	[]	['https://amp.twimg.com/v/34b7720e-f651-4392-8d98-3ecb9643ab23']
583374543902941184	Good evening Twittersphere. This is Boris, communicating to you live and direct. Watch this space for my updates from the campaign trail...	2015-04-01 21:05:04	651	3131144855	Boris Johnson	253222	45	418	['twitter']	[]	[]
