user_screen_name	friend_id	friend_screen_name	friends_#followers	friends_#followings	friends_#statuses
michaelgove	15661356	HeidilBlake	11880	660	2312
michaelgove	122662012	WeAreBrightBlue	6371	2779	11898
michaelgove	11801292	brianpaddick	7629	427	5074
michaelgove	211994193	RuthDavidsonMSP	74636	606	13502
michaelgove	105800463	leicesterliz	60072	1511	12424
michaelgove	338335964	MatthewdAncona	29653	677	7627
michaelgove	337615695	Anoosh_C	4444	884	4770
michaelgove	3422063771	Robert___Harris	21858	401	1779
michaelgove	297100174	anneapplebaum	77687	300	5558
michaelgove	270459817	RevRichardColes	103617	2362	128760
michaelgove	148342320	MaryRiddell	5656	457	2902
michaelgove	465965880	JeremyCliffe	17217	1909	8629
michaelgove	21146043	johnmcternan	26014	4411	107039
michaelgove	14260960	JustinTrudeau	2112054	949	12241
michaelgove	19966557	alaindebotton	612438	1178	2752
michaelgove	709863948686909441	pestononsunday	11360	438	877
michaelgove	65357102	trussliz	28297	981	3291
michaelgove	738385544632238080	LordCFalconer	651	218	84
michaelgove	39573484	Jderbyshire	4480	536	10492
michaelgove	2334732225	StevePeers	20039	15628	19679
michaelgove	634496564	CER_Grant	9195	1423	6403
michaelgove	152656121	mrjamesob	105660	974	23980
michaelgove	18331985	rcolvile	7733	1408	17444
michaelgove	163454545	guywalters	4930	898	36145
michaelgove	18541636	mattholehouse	14734	3818	17727
michaelgove	119691332	rorybremner	62018	528	11796
michaelgove	233978509	CER_London	15266	1788	4909
michaelgove	2831541294	LordsEUCom	4388	614	1175
michaelgove	771031567443591168	DexEUgov	20172	74	55
michaelgove	15173361	IanCobain	4087	1556	2840
michaelgove	135175358	NortonTaylor	1471	375	365
michaelgove	1633543440	DesmondSwayne	2957	275	477
michaelgove	140955302	DAaronovitch	96939	1927	72013
michaelgove	319593936	Jo_Coburn	20647	210	1183
michaelgove	22473844	daily_politics	129264	4506	44757
michaelgove	474180693	EdwardLeighMP	2261	115	289
michaelgove	1067829343	Jackloprestimp	2514	175	571
michaelgove	38671387	JackieDP	3195	161	2926
michaelgove	101709692	FaySchlesinger	2478	212	921
michaelgove	119100665	slatersasha	1513	358	1062
michaelgove	87533919	rolandmcs	3799	318	61881
michaelgove	2890801661	Douglas4Moray	1411	138	1451
michaelgove	14077382	JamesCleverly	12837	7367	16107
michaelgove	1300328653	IanDuncanMEP	5401	1601	13315
michaelgove	19589280	DavidMundellDCT	8810	520	1839
michaelgove	1165650786	MspLiz	2344	885	2354
michaelgove	2841826715	jamiegreeneUK	2525	2176	2298
michaelgove	760506665728892928	BrexitCentral	3729	67	666
michaelgove	15798091	JamesDelingpole	31049	1389	37311
michaelgove	127503320	SpecCoffeeHouse	42287	345	17040
michaelgove	14085096	JohnRentoul	79157	351	139721
michaelgove	562973853	RSylvesterTimes	8313	628	652
michaelgove	14449684	StrykerMcGuire	1264	369	5719
michaelgove	3076039949	backborwick	2160	247	606
michaelgove	2246002939	JamesBerryMP	3551	428	3528
